layer_idx,layer_name,submodule,cosine_similarity,mse
0,Transformer Layer 0,self_attn.q_proj,0.6270214915275574,0.00019405667262617499
0,Transformer Layer 0,self_attn.k_proj,0.5704696774482727,0.00021122900943737477
0,Transformer Layer 0,self_attn.v_proj,0.735771656036377,9.808075992623344e-05
0,Transformer Layer 0,self_attn.o_proj,0.9997879266738892,1.4303164874718277e-08
0,Transformer Layer 0,mlp.gate_proj,0.9705626964569092,0.0001124149130191654
0,Transformer Layer 0,mlp.up_proj,0.9768663644790649,0.0001089987563318573
0,Transformer Layer 0,mlp.down_proj,0.999778151512146,2.816029009977683e-08
1,Transformer Layer 1,self_attn.q_proj,0.6945068836212158,0.0003675687767099589
1,Transformer Layer 1,self_attn.k_proj,0.6910168528556824,0.00037537727621383965
1,Transformer Layer 1,self_attn.v_proj,0.8803693056106567,4.7533791075693443e-05
1,Transformer Layer 1,self_attn.o_proj,0.9998210072517395,1.2917736214035358e-08
1,Transformer Layer 1,mlp.gate_proj,0.9934619069099426,6.545398355228826e-05
1,Transformer Layer 1,mlp.up_proj,0.994316041469574,5.8144516515312716e-05
1,Transformer Layer 1,mlp.down_proj,0.9997724294662476,3.389632396988418e-08
2,Transformer Layer 2,self_attn.q_proj,0.8909850716590881,0.00018188016838394105
2,Transformer Layer 2,self_attn.k_proj,0.8760837316513062,0.00024159997701644897
2,Transformer Layer 2,self_attn.v_proj,0.9808970093727112,7.971241757331882e-06
2,Transformer Layer 2,self_attn.o_proj,0.9998751878738403,1.792636616926302e-08
2,Transformer Layer 2,mlp.gate_proj,0.9950786232948303,1.3307997505762614e-05
2,Transformer Layer 2,mlp.up_proj,0.9953456521034241,1.1445494237705134e-05
2,Transformer Layer 2,mlp.down_proj,0.9997841119766235,3.01017983872498e-08
3,Transformer Layer 3,self_attn.q_proj,0.9430968165397644,0.0003942703770007938
3,Transformer Layer 3,self_attn.k_proj,0.936463475227356,0.0004630401381291449
3,Transformer Layer 3,self_attn.v_proj,0.9847334027290344,6.020359069225378e-05
3,Transformer Layer 3,self_attn.o_proj,0.9998741745948792,1.532131577164364e-08
3,Transformer Layer 3,mlp.gate_proj,0.9959662556648254,3.092557562922593e-06
3,Transformer Layer 3,mlp.up_proj,0.9963933825492859,2.3546797365270322e-06
3,Transformer Layer 3,mlp.down_proj,0.9997841715812683,2.8967573229010668e-08
4,Transformer Layer 4,self_attn.q_proj,0.9300888180732727,0.00039772034506313503
4,Transformer Layer 4,self_attn.k_proj,0.9084377288818359,0.0005310700507834554
4,Transformer Layer 4,self_attn.v_proj,0.9838808178901672,4.9674443289404735e-05
4,Transformer Layer 4,self_attn.o_proj,0.9998638033866882,1.7146746245089162e-08
4,Transformer Layer 4,mlp.gate_proj,0.9932225942611694,1.1237542821618263e-05
4,Transformer Layer 4,mlp.up_proj,0.9946340322494507,7.811980140104424e-06
4,Transformer Layer 4,mlp.down_proj,0.9997972846031189,3.044981866651142e-08
5,Transformer Layer 5,self_attn.q_proj,0.9397103786468506,0.00040289078606292605
5,Transformer Layer 5,self_attn.k_proj,0.9195578694343567,0.0005544996820390224
5,Transformer Layer 5,self_attn.v_proj,0.9868283271789551,5.884786514798179e-05
5,Transformer Layer 5,self_attn.o_proj,0.9998668432235718,1.785596381864707e-08
